name,position,market_value,team
Thibaut Courtois,Torwart,"60,00 Mio. €",Real Madrid
Andriy Lunin,Torwart,"2,50 Mio. €",Real Madrid
Luis López,Torwart,300 Tsd. €,Real Madrid
Toni Fuidias,Torwart,300 Tsd. €,Real Madrid
Diego Piñeiro,Torwart,-,Real Madrid
Éder Militão,Innenverteidiger,"60,00 Mio. €",Real Madrid
David Alaba,Innenverteidiger,"55,00 Mio. €",Real Madrid
Nacho Fernández,Innenverteidiger,"7,00 Mio. €",Real Madrid
Jesús Vallejo,Innenverteidiger,"3,00 Mio. €",Real Madrid
Mario Gila,Innenverteidiger,500 Tsd. €,Real Madrid
Rafa Marín,Innenverteidiger,400 Tsd. €,Real Madrid
Ferland Mendy,Linker Verteidiger,"40,00 Mio. €",Real Madrid
Miguel Gutiérrez,Linker Verteidiger,"6,00 Mio. €",Real Madrid
Marcelo,Linker Verteidiger,"3,00 Mio. €",Real Madrid
Daniel Carvajal,Rechter Verteidiger,"18,00 Mio. €",Real Madrid
Lucas Vázquez,Rechter Verteidiger,"12,00 Mio. €",Real Madrid
Álvaro Odriozola,Rechter Verteidiger,"12,00 Mio. €",Real Madrid
Sergio Santos,Rechter Verteidiger,250 Tsd. €,Real Madrid
Casemiro,Defensives Mittelfeld,"40,00 Mio. €",Real Madrid
Antonio Blanco,Defensives Mittelfeld,"5,00 Mio. €",Real Madrid
Federico Valverde,Zentrales Mittelfeld,"70,00 Mio. €",Real Madrid
Eduardo Camavinga,Zentrales Mittelfeld,"55,00 Mio. €",Real Madrid
Toni Kroos,Zentrales Mittelfeld,"20,00 Mio. €",Real Madrid
Dani Ceballos,Zentrales Mittelfeld,"14,00 Mio. €",Real Madrid
Luka Modric,Zentrales Mittelfeld,"10,00 Mio. €",Real Madrid
Isco,Offensives Mittelfeld,"7,50 Mio. €",Real Madrid
Vinicius Junior,Linksaußen,"100,00 Mio. €",Real Madrid
Eden Hazard,Linksaußen,"12,00 Mio. €",Real Madrid
Rodrygo,Rechtsaußen,"60,00 Mio. €",Real Madrid
Marco Asensio,Rechtsaußen,"40,00 Mio. €",Real Madrid
Gareth Bale,Rechtsaußen,"3,00 Mio. €",Real Madrid
Peter Federico,Rechtsaußen,"1,00 Mio. €",Real Madrid
Karim Benzema,Mittelstürmer,"30,00 Mio. €",Real Madrid
Luka Jović,Mittelstürmer,"16,00 Mio. €",Real Madrid
Mariano Díaz,Mittelstürmer,"6,00 Mio. €",Real Madrid
Juanmi Latasa,Mittelstürmer,"1,00 Mio. €",Real Madrid
Alisson,Torwart,"50,00 Mio. €",Liverpool
Caoimhín Kelleher,Torwart,"8,00 Mio. €",Liverpool
Loris Karius,Torwart,"1,50 Mio. €",Liverpool
Adrián,Torwart,"1,00 Mio. €",Liverpool
Marcelo Pitaluga,Torwart,100 Tsd. €,Liverpool
Liam Hughes,Torwart,-,Liverpool
Harvey Davies,Torwart,-,Liverpool
Virgil van Dijk,Innenverteidiger,"55,00 Mio. €",Liverpool
Ibrahima Konaté,Innenverteidiger,"40,00 Mio. €",Liverpool
Joe Gomez,Innenverteidiger,"18,00 Mio. €",Liverpool
Joel Matip,Innenverteidiger,"18,00 Mio. €",Liverpool
Nat Phillips,Innenverteidiger,"8,00 Mio. €",Liverpool
Sepp van den Berg,Innenverteidiger,"5,00 Mio. €",Liverpool
Rhys Williams,Innenverteidiger,"4,00 Mio. €",Liverpool
Ben Davies,Innenverteidiger,"2,50 Mio. €",Liverpool
Billy Koumetio,Innenverteidiger,800 Tsd. €,Liverpool
Jarell Quansah,Innenverteidiger,-,Liverpool
Andrew Robertson,Linker Verteidiger,"65,00 Mio. €",Liverpool
Konstantinos Tsimikas,Linker Verteidiger,"15,00 Mio. €",Liverpool
Owen Beck,Linker Verteidiger,400 Tsd. €,Liverpool
James Norris,Linker Verteidiger,-,Liverpool
Trent Alexander-Arnold,Rechter Verteidiger,"80,00 Mio. €",Liverpool
Neco Williams,Rechter Verteidiger,"8,00 Mio. €",Liverpool
Conor Bradley,Rechter Verteidiger,"1,00 Mio. €",Liverpool
Isaac Mabaya,Rechter Verteidiger,-,Liverpool
Fabinho,Defensives Mittelfeld,"60,00 Mio. €",Liverpool
Tyler Morton,Defensives Mittelfeld,"3,00 Mio. €",Liverpool
Curtis Jones,Zentrales Mittelfeld,"28,00 Mio. €",Liverpool
Naby Keïta,Zentrales Mittelfeld,"25,00 Mio. €",Liverpool
Harvey Elliott,Zentrales Mittelfeld,"22,00 Mio. €",Liverpool
Thiago Alcántara,Zentrales Mittelfeld,"20,00 Mio. €",Liverpool
Alex Oxlade-Chamberlain,Zentrales Mittelfeld,"16,00 Mio. €",Liverpool
Jordan Henderson,Zentrales Mittelfeld,"15,00 Mio. €",Liverpool
James Milner,Zentrales Mittelfeld,"2,00 Mio. €",Liverpool
Elijah Dixon-Bonner,Zentrales Mittelfeld,300 Tsd. €,Liverpool
James Balagizi,Zentrales Mittelfeld,-,Liverpool
Ben Woodburn,Offensives Mittelfeld,"1,20 Mio. €",Liverpool
Sadio Mané,Linksaußen,"70,00 Mio. €",Liverpool
Luis Díaz,Linksaußen,"65,00 Mio. €",Liverpool
Takumi Minamino,Linksaußen,"12,00 Mio. €",Liverpool
Mohamed Salah,Rechtsaußen,"90,00 Mio. €",Liverpool
Sheyi Ojo,Rechtsaußen,"2,00 Mio. €",Liverpool
Kaide Gordon,Rechtsaußen,"1,50 Mio. €",Liverpool
Harvey Blair,Rechtsaußen,300 Tsd. €,Liverpool
Melkamu Frauendorf,Rechtsaußen,-,Liverpool
Diogo Jota,Mittelstürmer,"60,00 Mio. €",Liverpool
Roberto Firmino,Mittelstürmer,"32,00 Mio. €",Liverpool
Divock Origi,Mittelstürmer,"12,00 Mio. €",Liverpool
Max Woltman,Mittelstürmer,300 Tsd. €,Liverpool
Ederson,Torwart,"45,00 Mio. €",Manchester City
Zack Steffen,Torwart,"6,00 Mio. €",Manchester City
Scott Carson,Torwart,300 Tsd. €,Manchester City
Cieran Slicker,Torwart,-,Manchester City
Rúben Dias,Innenverteidiger,"75,00 Mio. €",Manchester City
Aymeric Laporte,Innenverteidiger,"45,00 Mio. €",Manchester City
John Stones,Innenverteidiger,"28,00 Mio. €",Manchester City
Nathan Aké,Innenverteidiger,"25,00 Mio. €",Manchester City
Philippe Sandler,Innenverteidiger,"2,00 Mio. €",Manchester City
CJ Egan-Riley,Innenverteidiger,800 Tsd. €,Manchester City
Luke Mbete,Innenverteidiger,600 Tsd. €,Manchester City
Finley Burns,Innenverteidiger,300 Tsd. €,Manchester City
Oleksandr Zinchenko,Linker Verteidiger,"25,00 Mio. €",Manchester City
Josh Wilson-Esbrand,Linker Verteidiger,400 Tsd. €,Manchester City
Benjamin Mendy,Linker Verteidiger,-,Manchester City
João Cancelo,Rechter Verteidiger,"65,00 Mio. €",Manchester City
Kyle Walker,Rechter Verteidiger,"18,00 Mio. €",Manchester City
Yan Couto,Rechter Verteidiger,"5,00 Mio. €",Manchester City
Rodri,Defensives Mittelfeld,"80,00 Mio. €",Manchester City
Roméo Lavia,Defensives Mittelfeld,"2,00 Mio. €",Manchester City
Fernandinho,Defensives Mittelfeld,"1,50 Mio. €",Manchester City
Claudio Gomes,Defensives Mittelfeld,"1,00 Mio. €",Manchester City
İlkay Gündoğan,Zentrales Mittelfeld,"25,00 Mio. €",Manchester City
Tommy Doyle,Zentrales Mittelfeld,"2,50 Mio. €",Manchester City
Kevin De Bruyne,Offensives Mittelfeld,"85,00 Mio. €",Manchester City
Bernardo Silva,Offensives Mittelfeld,"80,00 Mio. €",Manchester City
Cole Palmer,Offensives Mittelfeld,"6,00 Mio. €",Manchester City
James McAtee,Offensives Mittelfeld,"3,00 Mio. €",Manchester City
Jack Grealish,Linksaußen,"70,00 Mio. €",Manchester City
Samuel Edozie,Linksaußen,800 Tsd. €,Manchester City
Phil Foden,Rechtsaußen,"90,00 Mio. €",Manchester City
Raheem Sterling,Rechtsaußen,"70,00 Mio. €",Manchester City
Ferran Torres,Rechtsaußen,"45,00 Mio. €",Manchester City
Riyad Mahrez,Rechtsaußen,"35,00 Mio. €",Manchester City
Kayky,Rechtsaußen,"14,00 Mio. €",Manchester City
Oscar Bobb,Rechtsaußen,-,Manchester City
Ben Knight,Rechtsaußen,-,Manchester City
Gabriel Jesus,Mittelstürmer,"50,00 Mio. €",Manchester City
Liam Delap,Mittelstürmer,"1,50 Mio. €",Manchester City
Gerónimo Rulli,Torwart,"6,00 Mio. €",Villarreal
Sergio Asenjo,Torwart,"4,00 Mio. €",Villarreal
Iker Álvarez,Torwart,300 Tsd. €,Villarreal
Filip Jørgensen,Torwart,300 Tsd. €,Villarreal
Pau Torres,Innenverteidiger,"50,00 Mio. €",Villarreal
Jorge Cuenca,Innenverteidiger,"8,00 Mio. €",Villarreal
Aïssa Mandi,Innenverteidiger,"6,00 Mio. €",Villarreal
Mario Gaspar,Innenverteidiger,"3,00 Mio. €",Villarreal
Raúl Albiol,Innenverteidiger,"3,00 Mio. €",Villarreal
Adrián de la Fuente,Innenverteidiger,600 Tsd. €,Villarreal
Pervis Estupiñán,Linker Verteidiger,"20,00 Mio. €",Villarreal
Alfonso Pedraza,Linker Verteidiger,"18,00 Mio. €",Villarreal
Alberto Moreno,Linker Verteidiger,"5,00 Mio. €",Villarreal
Dani Tasende,Linker Verteidiger,500 Tsd. €,Villarreal
Juan Foyth,Rechter Verteidiger,"25,00 Mio. €",Villarreal
Serge Aurier,Rechter Verteidiger,"10,00 Mio. €",Villarreal
Rubén Peña,Rechter Verteidiger,"2,50 Mio. €",Villarreal
Lanchi,Rechter Verteidiger,200 Tsd. €,Villarreal
Francis Coquelin,Defensives Mittelfeld,"5,00 Mio. €",Villarreal
Étienne Capoue,Defensives Mittelfeld,"3,00 Mio. €",Villarreal
Vicente Iborra,Defensives Mittelfeld,"2,00 Mio. €",Villarreal
Giovani Lo Celso,Zentrales Mittelfeld,"22,00 Mio. €",Villarreal
Manu Trigueros,Zentrales Mittelfeld,"14,00 Mio. €",Villarreal
Dani Parejo,Zentrales Mittelfeld,"9,00 Mio. €",Villarreal
Manu Morlanes,Zentrales Mittelfeld,"5,00 Mio. €",Villarreal
Carlo García,Zentrales Mittelfeld,400 Tsd. €,Villarreal
Antonio Pacheco,Zentrales Mittelfeld,200 Tsd. €,Villarreal
Arnaut Danjuma,Linksaußen,"50,00 Mio. €",Villarreal
Moi Gómez,Linksaußen,"8,00 Mio. €",Villarreal
Nikita Iosifov,Linksaußen,"1,20 Mio. €",Villarreal
Yéremy Pino,Rechtsaußen,"40,00 Mio. €",Villarreal
Samuel Chukwueze,Rechtsaußen,"20,00 Mio. €",Villarreal
Dani Raba,Rechtsaußen,900 Tsd. €,Villarreal
Gerard Moreno,Mittelstürmer,"40,00 Mio. €",Villarreal
Boulaye Dia,Mittelstürmer,"12,00 Mio. €",Villarreal
Paco Alcácer,Mittelstürmer,"9,00 Mio. €",Villarreal
Fer Niño,Mittelstürmer,"3,00 Mio. €",Villarreal
Nicolas Jackson,Mittelstürmer,"1,00 Mio. €",Villarreal
Juan Carlos Arana,Mittelstürmer,800 Tsd. €,Villarreal
